Name,Chemical Name (IAPUC),Chemical Formula,MW,SMILES
HZ-76,"2-(1,3-bis(didodecylamino)propan-2-yl) 1-(tert-butyl) (R)-pyrrolidine-1,2-dicarboxylate",C61H121N3O4,960.66,O=C(OC(CN(CCCCCCCCCCCC)CCCCCCCCCCCC)CN(CCCCCCCCCCCC)CCCCCCCCCCCC)[C@@H]1N(C(OC(C)(C)C)=O)CCC1
HZ-83,"2-((dodecanoyloxy)methyl)-2-(pyrrolidine-2-carboxamido)propane-1,3-diyl didodecanoate",C45H84N2O7,765.17,O=C(NC(COC(CCCCCCCCCCC)=O)(COC(CCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O)C1NCCC1
HZ-94,"2-(1-methylpyrrolidine-2-carboxamido)-2-((pentadecanoyloxy)methyl)propane-1,3-diyl dipentadecanoate",C55H104N2O7,905.44,O=C(NC(COC(CCCCCCCCCCCCCC)=O)(COC(CCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCC)=O)C1N(C)CCC1
HZ-82,"2-(((L-prolyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C45H77NO6,728.11,O=C(OCC(COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)[C@H]1NCCC1
HZ-88,"2-(((methyl-L-prolyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C46H79NO6,742.14,O=C(OCC(COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)[C@H]1N(C)CCC1
HZ-93,"3-(((9Z,12Z)-octadeca-9,12-dienoyl)oxy)-2-((stearoyloxy)methyl)propyl L-prolinate",C45H81NO6,732.14,O=C(OCC(COC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)[C@H]1NCCC1
HZ-89,"3-(((9Z,12Z)-octadeca-9,12-dienoyl)oxy)-2-((stearoyloxy)methyl)propyl methyl-L-prolinate",C46H83NO6,746.17,O=C(OCC(COC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)[C@H]1N(C)CCC1
HZ-134,"2-(((L-prolyl)oxy)methyl)propane-1,3-diyl dioleate",C45H81NO6,732.14,O=C(OCC(COC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)[C@H]1NCCC1
HZ-157,"3-(((9Z,12Z)-octadeca-9,12-dienoyl)oxy)-2-((oleoyloxy)methyl)propyl L-prolinate",C45H79NO6,730.13,O=C(OCC(COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)[C@H]1NCCC1
HZ-186,"3-(2-((3S,5S,7S)-adamantan-1-yl)acetoxy)-2-((((9Z,12Z)-octadeca-9,12-dienoyl)oxy)methyl)propyl L-prolinate",C39H63NO6,641.93,O=C(OCC(COC(CC12C[C@H](C[C@H](C2)C3)C[C@H]3C1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)[C@H]4NCCC4
