index,auc,accuracy,params,iteration
53,0.8105108249972284,0.8105108249972284,"{'eta': 0.07, 'max_depth': 9, 'gamma': 0.3, 'alpha': 5, 'lambda': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",53
98,0.8102699377737228,0.8102699377737228,"{'eta': 0.07, 'max_depth': 9, 'gamma': 0.0, 'alpha': 5, 'lambda': 0.1, 'subsample': 0.9, 'colsample_bytree': 0.6, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",98
9,0.8101865021485484,0.8101865021485484,"{'eta': 0.12, 'max_depth': 6, 'gamma': 0.1, 'alpha': 10, 'lambda': 1e-05, 'subsample': 0.5, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",9
36,0.8098683054073985,0.8098683054073985,"{'eta': 0.14, 'max_depth': 8, 'gamma': 0.0, 'alpha': 10, 'lambda': 5, 'subsample': 0.8, 'colsample_bytree': 0.9, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",36
65,0.8096999702520744,0.8096999702520744,"{'eta': 0.1, 'max_depth': 8, 'gamma': 0.0, 'alpha': 5, 'lambda': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.6, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",65
89,0.8088327418999126,0.8088327418999126,"{'eta': 0.12, 'max_depth': 9, 'gamma': 0.0, 'alpha': 10, 'lambda': 1e-05, 'subsample': 0.6, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",89
39,0.8087618000062295,0.8087618000062295,"{'eta': 0.05, 'max_depth': 7, 'gamma': 0.1, 'alpha': 0.5, 'lambda': 0.5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",39
64,0.8086364903487645,0.8086364903487645,"{'eta': 0.14, 'max_depth': 6, 'gamma': 0.0, 'alpha': 10, 'lambda': 0.5, 'subsample': 0.9, 'colsample_bytree': 0.6, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",64
48,0.8084531153874501,0.8084531153874501,"{'eta': 0.14, 'max_depth': 5, 'gamma': 0.2, 'alpha': 10, 'lambda': 10, 'subsample': 0.8, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",48
18,0.8083478609690655,0.8083478609690655,"{'eta': 0.05, 'max_depth': 9, 'gamma': 0.4, 'alpha': 0.5, 'lambda': 5, 'subsample': 0.7, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",18
31,0.8083432296871932,0.8083432296871932,"{'eta': 0.07, 'max_depth': 6, 'gamma': 0.1, 'alpha': 1, 'lambda': 5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",31
69,0.8077236813067301,0.8077236813067301,"{'eta': 0.07, 'max_depth': 7, 'gamma': 0.4, 'alpha': 1e-05, 'lambda': 0.5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",69
42,0.8074186038342896,0.8074186038342896,"{'eta': 0.01, 'max_depth': 8, 'gamma': 0.4, 'alpha': 1e-05, 'lambda': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",42
21,0.8071531646122608,0.8071531646122608,"{'eta': 0.07, 'max_depth': 7, 'gamma': 0.0, 'alpha': 10, 'lambda': 0.5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",21
49,0.8069793559263354,0.8069793559263354,"{'eta': 0.05, 'max_depth': 9, 'gamma': 0.2, 'alpha': 0.5, 'lambda': 1e-05, 'subsample': 0.7, 'colsample_bytree': 0.6, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",49
88,0.8068377791309473,0.8068377791309473,"{'eta': 0.14, 'max_depth': 4, 'gamma': 0.3, 'alpha': 1, 'lambda': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",88
7,0.8063549552812667,0.8063549552812667,"{'eta': 0.2, 'max_depth': 9, 'gamma': 0.0, 'alpha': 0.5, 'lambda': 10, 'subsample': 0.5, 'colsample_bytree': 0.6, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",7
54,0.806135192364956,0.806135192364956,"{'eta': 0.14, 'max_depth': 9, 'gamma': 0.3, 'alpha': 10, 'lambda': 0.01, 'subsample': 0.7, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",54
6,0.8059168106625252,0.8059168106625252,"{'eta': 0.1, 'max_depth': 7, 'gamma': 0.2, 'alpha': 5, 'lambda': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",6
4,0.8058626900616259,0.8058626900616259,"{'eta': 0.05, 'max_depth': 5, 'gamma': 0.4, 'alpha': 0.5, 'lambda': 0.01, 'subsample': 0.9, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",4
28,0.8056759382868932,0.8056759382868932,"{'eta': 0.12, 'max_depth': 6, 'gamma': 0.4, 'alpha': 1e-05, 'lambda': 0.5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",28
91,0.8055075253958212,0.8055075253958212,"{'eta': 0.14, 'max_depth': 7, 'gamma': 0.0, 'alpha': 1e-05, 'lambda': 5, 'subsample': 0.5, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",91
